symbol,entry_price,entry_time,exit_price,exit_time,quantity,position_size,pnl_value,pnl_percent,hold_days,exit_reason,partial
SHIBUSDT,2.113e-05,2024-08-24 04:00:00,2.033e-05,2024-09-01 00:00:00,18930430.66729768,400.0,-15.144344533838128,-3.786086133459532,7,"STOP_LOSS (Day 7, -3%)",False
DOGEUSDT,0.10445,2024-09-13 08:00:00,0.12293,2024-09-27 04:00:00,1914.7917663954045,200.0,35.38535184298707,17.692675921493535,13,"TP1 (Day 13, +15%)",True
SOLUSDT,138.01,2024-09-19 00:00:00,159.03,2024-09-27 12:00:00,0.7245851749873198,100.0,15.230780378233469,15.230780378233469,8,"TP1 (Day 8, +15%)",True
DOGEUSDT,0.10445,2024-09-13 08:00:00,0.12438,2024-09-29 20:00:00,1914.7917663954045,200.0,38.16179990426042,19.08089995213021,16,"TRAILING_STOP (Day 16, -5% from high)",False
SOLUSDT,138.01,2024-09-19 00:00:00,149.61,2024-10-01 12:00:00,0.7245851749873198,100.0,8.405188029852926,8.405188029852926,12,"TRAILING_STOP (Day 12, -5% from high)",False
SHIBUSDT,1.493e-05,2024-10-02 20:00:00,1.364e-05,2024-10-06 00:00:00,26791694.57468185,400.0,-34.561286001339575,-8.640321500334894,3,"STOP_LOSS_EARLY (Day 3, -8%)",False
DOGEUSDT,0.11216,2024-10-06 12:00:00,0.12967,2024-10-17 20:00:00,1783.166904422254,200.0,31.223252496433687,15.611626248216846,11,"TP1 (Day 11, +15%)",True
DOGEUSDT,0.11216,2024-10-06 12:00:00,0.14614,2024-10-21 04:00:00,1783.166904422254,200.0,60.592011412268185,30.296005706134093,14,"TP2 (Day 14, +30%)",False
SOLUSDT,152.51,2024-10-14 00:00:00,175.43,2024-10-24 12:00:00,0.655694708543702,100.0,15.02852271982166,15.028522719821662,10,"TP1 (Day 10, +15%)",True
SOLUSDT,152.51,2024-10-14 00:00:00,167.95,2024-10-25 16:00:00,0.655694708543702,100.0,10.123926299914759,10.123926299914759,11,"TRAILING_STOP (Day 11, -5% from high)",False
SHIBUSDT,1.301e-05,2024-11-01 12:00:00,1.261e-05,2024-11-08 12:00:00,30745580.32282859,400.0,-12.298232129131474,-3.074558032282869,7,"STOP_LOSS (Day 7, -3%)",False
DOGEUSDT,0.1624,2024-11-05 00:00:00,0.36362,2024-11-12 00:00:00,1231.527093596059,200.0,247.80788177339903,123.90394088669952,7,"TP1 (Day 7, +15%)",True
DOGEUSDT,0.1624,2024-11-05 00:00:00,0.41191,2024-11-12 04:00:00,1231.527093596059,200.0,307.27832512315274,153.63916256157637,7,"TP2 (Day 7, +30%)",False
SOLUSDT,212.23,2024-11-10 12:00:00,244.18,2024-11-18 00:00:00,0.47118691985110495,100.0,15.054422089242811,15.054422089242811,7,"TP1 (Day 7, +15%)",True
SOLUSDT,212.23,2024-11-10 12:00:00,233.0,2024-11-20 16:00:00,0.47118691985110495,100.0,9.786552325307454,9.786552325307454,10,"TRAILING_STOP (Day 10, -5% from high)",False
DOGEUSDT,0.42479,2024-12-01 00:00:00,0.4006,2024-12-10 00:00:00,941.6417523953012,400.0,-22.778313990442324,-5.694578497610581,9,"STOP_LOSS (Day 9, -3%)",False
SHIBUSDT,1.305e-05,2024-12-01 16:00:00,1.26e-05,2024-12-14 16:00:00,30651340.99616858,400.0,-13.793103448275884,-3.448275862068971,13,"STOP_LOSS (Day 13, -3%)",False
SOLUSDT,198.54,2025-01-02 00:00:00,190.11,2025-01-09 04:00:00,1.0073536818777074,200.0,-8.491991538229051,-4.245995769114526,7,"STOP_LOSS (Day 7, -3%)",False
